size,10,25,50,100,250,500
2x2,3.00,1.20,0.60,0.35,0.35,0.35
3x3,3.00,1.20,0.80,0.80,0.75,0.70
4x4,3.00,1.45,1.40,1.35,1.20,1.10
5x5,3.10,2.25,2.15,2.10,1.90,1.75
6x6,3.25,3.10,3.00,2.75,2.50,2.50
