size,10,25,50,100,250,500
3x11.5,3.60,3.45,3.35,3.35,2.90,2.90
4x11,4.60,4.45,4.30,3.95,3.65,3.65
4x12,5.00,4.85,4.65,4.35,4.00,4.00
