size,10,25,50,100,250,500
3x11.5,3.45,3.35,3.25,3.25,2.75,2.75
4x11,4.45,4.30,4.10,3.80,3.50,3.50
4x12,4.85,4.65,4.50,4.15,3.85,3.85
