size,10,25,50,100,250,500
3x11.5,3.10,3.00,2.90,2.90,2.40,2.40
4x11,3.95,3.80,3.65,3.35,3.05,3.05
4x12,4.35,4.15,4.00,3.65,3.35,3.35
