size,10,25,50,100,250,500
2x3,3.00,1.20,0.60,0.55,0.50,0.50
2x4,3.00,1.20,0.70,0.70,0.65,0.60
3x5,3.00,1.35,1.30,1.25,1.15,1.05
4x6,3.00,2.15,2.10,2.00,1.85,1.65
5x7,3.15,3.05,2.90,2.90,2.45,2.45
6x9,4.90,4.70,4.50,4.10,3.75,3.75
